university_name,degree_level,program_name,intake,application_open_date,application_deadline,scholarship_deadline,source_url,notes,last_verified
Aalto University,Master,University-wide international master's admissions,Autumn,2025-12-01,2026-01-02,,https://www.aalto.fi/en/admission-services/masters-admissions,Document upload deadline 2026-01-09; results published 2026-04-08.,2026-03-14
University of Helsinki,Master,International master's programmes,Autumn,2026-01-02,2026-01-16,,https://www.helsinki.fi/en/admissions-and-education/apply-bachelors-and-masters-programmes/apply-international-masters-programmes/how-apply,Attachment deadline 2026-01-23; admissions results published between 2026-04-01 and 2026-04-15.,2026-03-14
Tampere University,Master,University master's programmes,Autumn,2025-12-15,2026-01-05,2026-04-10,https://www.tuni.fi/en/study-with-us/apply-to-tampere-university/applying-to-university-masters-programmes,Attachment deadline 2026-01-12; results on 2026-03-13; early-bird acceptance deadline 2026-03-27.,2026-03-14
University of Turku,Master,International master's degree programmes,Autumn,2026-01-07,2026-01-21,,https://www.utu.fi/en/study-at-utu/apply-to-masters-programmes,Attachment deadline 2026-01-28; results published 2026-03-26.,2026-03-14
University of Oulu,Master,International master's programmes,Autumn,2026-01-07,2026-01-21,,https://www.oulu.fi/en/apply/how-apply/applying-masters-programmes/deadlines,Attachment deadline 2026-01-28; graduating applicants submit final verified documents by 2026-07-31.,2026-03-14
LUT University,Master,Regular Admission for master's studies,Autumn,2025-12-15,2026-01-21,,https://www.lut.fi/en/studies/apply-lut/applying-masters-programmes/regular-admission-masters-studies,Supplementary document deadline 2026-01-28; results released by 2026-04-09.,2026-03-14
University of Eastern Finland,Master,Master's programmes taught in English,Autumn,2026-01-07,2026-01-21,,https://www.uef.fi/en/how-to-apply,Required enclosures due 2026-01-28; verified educational documents due 2026-05-29 for completed degrees and 2026-07-30 for graduating applicants.,2026-03-14
University of Jyvaskyla,Master,English-taught master's degree programmes,Autumn,2026-01-07,2026-01-21,,https://www.jyu.fi/en/study-with-us/masters-degree-programmes/how-to-apply-for-masters-programmes,Attachment deadline 2026-01-28; applicants informed by 2026-04-01.,2026-03-14
University of Vaasa,Master,Joint application round,Autumn,2026-01-07,2026-01-21,,https://www.uwasa.fi/en/education/masters-programmes/how-apply,Rolling admission is also available for eligible applicants from 2025-10-01 until 2026-03-31.,2026-03-14
University of Vaasa,Master,Rolling admission,Autumn,2025-10-01,2026-03-31,,https://www.uwasa.fi/en/education/masters-programmes/how-apply,Rolling admission is open only to applicants with previous degrees from non-Finnish higher education institutions.,2026-03-14
Hanken School of Economics,Master,Main Admission round,Autumn,2026-01-07,2026-01-21,,https://www.hanken.fi/en/apply/application/masters-degree-studies-english/main-admission-round/application-process-step-step,Attachment deadline 2026-01-28; all results published by 2026-05-27.,2026-03-14
Hanken School of Economics,Master,Rolling Admission round,Autumn,2025-12-08,2026-04-15,,https://www.hanken.fi/index.php/en/apply/application/masters-degree-studies-english,Rolling Admission is limited to selected programmes and applicants with bachelor's degrees in economic sciences obtained outside Finland.,2026-03-14
Abo Akademi University,Master,International master's degree programmes,Autumn,2026-01-07,2026-01-21,,https://www.abo.fi/en/study/apply/international-master-programmes/application-process/,Attachment deadline 2026-01-28; admission results sent in the beginning of April 2026.,2026-03-14
