country,city,university_name,official_website,application_portal,degree_level,program_name,intake,tuition_fees_eur,scholarship_info,notes,last_verified
Finland,Espoo,Aalto University,https://www.aalto.fi/,https://www.aalto.fi/en/admission-services/masters-admissions,Master,University-wide international master's admissions,Autumn,,Programme-specific,Main annual master's intake runs in December-January; applicants may apply to up to two study options.,2026-03-14
Finland,Helsinki,University of Helsinki,https://www.helsinki.fi/,https://www.helsinki.fi/en/admissions-and-education/apply-bachelors-and-masters-programmes/apply-international-masters-programmes/how-apply,Master,International master's programmes,Autumn,,Programme-specific,Application period for autumn 2026 ran from 2026-01-02 to 2026-01-16.,2026-03-14
Finland,Tampere,Tampere University,https://www.tuni.fi/en,https://www.tuni.fi/en/study-with-us/apply-to-tampere-university/applying-to-university-masters-programmes,Master,University master's programmes,Autumn,,Possible scholarship and early-bird schemes,University-level master's admissions timeline for autumn 2026 is published centrally on TUNI.,2026-03-14
Finland,Turku,University of Turku,https://www.utu.fi/en,https://www.utu.fi/en/study-at-utu/apply-to-masters-programmes,Master,International master's degree programmes,Autumn,,Programme-specific,The next application round for autumn 2026 intake was 2026-01-07 to 2026-01-21 with attachments due 2026-01-28.,2026-03-14
Finland,Oulu,University of Oulu,https://www.oulu.fi/en,https://www.oulu.fi/en/apply/how-apply/applying-masters-programmes,Master,International master's programmes,Autumn,,Programme-specific,University of Oulu publishes a central deadlines page and a central application-documents page for master's admissions.,2026-03-14
Finland,Lappeenranta,LUT University,https://www.lut.fi/en,https://www.lut.fi/en/studies/apply-lut/applying-masters-programmes,Master,International master's programmes,Autumn,,Programme-specific,LUT uses separate Early Admission and Regular Admission windows depending on programme and applicant route.,2026-03-14
Finland,Joensuu,University of Eastern Finland,https://www.uef.fi/en,https://www.uef.fi/en/how-to-apply,Master,Master's programmes taught in English,Autumn,,Programme-specific,Most UEF English-taught master's programmes use the national first joint application round in January.,2026-03-14
Finland,Jyvaskyla,University of Jyvaskyla,https://www.jyu.fi/en,https://www.jyu.fi/en/study-with-us/masters-degree-programmes/how-to-apply-for-masters-programmes,Master,English-taught master's degree programmes,Autumn,,Programme-specific,JYU publishes a university-level timetable for all master's degree admissions each year.,2026-03-14
Finland,Vaasa,University of Vaasa,https://www.uwasa.fi/en,https://www.uwasa.fi/en/education/masters-programmes/how-apply,Master,English-language master's programmes,Autumn,,Programme-specific,University of Vaasa offers both joint application and rolling admission routes for autumn 2026 depending on applicant background and programme.,2026-03-14
Finland,Helsinki,Hanken School of Economics,https://www.hanken.fi/en,https://www.hanken.fi/en/apply/application/masters-degree-studies-english,Master,Master's degree studies in English,Autumn,,Programme-specific,Hanken publishes separate Main Admission and Rolling Admission rounds for English master's programmes.,2026-03-14
Finland,Turku,Abo Akademi University,https://www.abo.fi/en/,https://www.abo.fi/en/study/apply/international-master-programmes/application-process/,Master,International master's degree programmes,Autumn,,University-wide tuition fee scholarship scheme,International master's programmes taught in English use the January national application period.,2026-03-14
